Title,Rating,Video Link,Muscle Group,Equipment
Flutter Kicks,8.3,https://www.bodybuilding.com/exercises/detail/view/name/flutter-kicks,Glutes,Body Only
Freehand Jump Squat,8.4,https://www.bodybuilding.com/exercises/detail/view/name/freehand-jump-squat,Quadriceps,Body Only
Front Barbell Squat,8.9,https://www.bodybuilding.com/exercises/detail/view/name/front-barbell-squat,Quadriceps,Barbell
Front Box Jump,8.6,https://www.bodybuilding.com/exercises/detail/view/name/front-box-jump,Hamstrings,Other
Front Cable Raise,8.7,https://www.bodybuilding.com/exercises/detail/view/name/front-cable-raise,Shoulders,Cable
Front Dumbbell Raise,9,https://www.bodybuilding.com/exercises/detail/view/name/front-dumbbell-raise,Shoulders,Dumbbell
Front Incline Dumbbell Raise,8.7,https://www.bodybuilding.com/exercises/detail/view/name/front-incline-dumbbell-raise,Shoulders,Dumbbell
Front Leg Raises,8.4,https://www.bodybuilding.com/exercises/detail/view/name/front-leg-raises,Hamstrings,Body Only
Front Plate Raise,8.9,https://www.bodybuilding.com/exercises/detail/view/name/front-plate-raise,Shoulders,Other
Front Raise And Pullover,8.3,https://www.bodybuilding.com/exercises/detail/view/name/front-raise-and-pullover,Chest,Barbell
Front Squats With Two Kettlebells,9.2,https://www.bodybuilding.com/exercises/detail/view/name/front-squats-with-two-kettlebells,Quadriceps,Kettlebells
Front Two-Dumbbell Raise,8.8,https://www.bodybuilding.com/exercises/detail/view/name/front-two-dumbbell-raise,Shoulders,Dumbbell
Full Range-Of-Motion Lat Pulldown,8.1,https://www.bodybuilding.com/exercises/detail/view/name/full-range-of-motion-lat-pulldown,Lats,Cable
Gironda Sternum Chins,8.5,https://www.bodybuilding.com/exercises/detail/view/name/gironda-sternum-chins,Lats,Other
Glute Ham Raise,8.4,https://www.bodybuilding.com/exercises/detail/view/name/glute-ham-raise,Hamstrings,Machine
Glute Kickback,8.3,https://www.bodybuilding.com/exercises/detail/view/name/glute-kickback,Glutes,Body Only
Goblet Squat,8.7,https://www.bodybuilding.com/exercises/detail/view/name/goblet-squat,Quadriceps,Kettlebells
Good Morning,8.5,https://www.bodybuilding.com/exercises/detail/view/name/good-morning,Hamstrings,Barbell
Gorilla Chin/Crunch,9,https://www.bodybuilding.com/exercises/detail/view/name/gorilla-chincrunch,Abdominals,Body Only
Groiners,8.8,https://www.bodybuilding.com/exercises/detail/view/name/groiners-,Adductors,Body Only
Hack Squat,8.4,https://www.bodybuilding.com/exercises/detail/view/name/hack-squat,Quadriceps,Machine
Hammer Curls,9.1,https://www.bodybuilding.com/exercises/detail/view/name/hammer-curls,Biceps,Dumbbell
Hammer Grip Incline DB Bench Press,8.5,https://www.bodybuilding.com/exercises/detail/view/name/hammer-grip-incline-db-bench-press,Chest,Dumbbell
Handstand Push-Ups,8.7,https://www.bodybuilding.com/exercises/detail/view/name/handstand-push-ups,Shoulders,Body Only
Hang Clean,9.3,https://www.bodybuilding.com/exercises/detail/view/name/hang-clean,Quadriceps,Barbell
Hang Clean - Below the Knees,8.5,https://www.bodybuilding.com/exercises/detail/view/name/hang-clean-below-the-knees,Quadriceps,Barbell
